year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1990,03,28,22,29,49.00,,-21.900,-46.840,  0.0,20, 2.7,1,"I",,,"SP","S.J.B. Vista","(IPT;IAG)"
1990,04,25,04,35,,,-24.330,-50.540,  0.0,50, 2.1,1,"I",,,"PR","Telem. Borba","(IPT)"
1990,04,30,05,31,04.00,,-12.550,-40.300,  0.0,10, 2.9,1,"C","4-5",,"BA","Itaberaba","(IAG;UnB) dois eventos"
1990,05,30,08,00,24.00,,-25.730,-44.720,  0.0,50, 3.1,1,"I",,,"PR","Margem Cont.","(IPT;IAG;UNESP)"
1990,06,01,06,55,57.00,,-19.950,-47.160,  0.0,20, 2.6,1,"I","2",,"MG","Sacramento","(IAG;UnB;IPT)"
1990,06,05,02,20,34.00,,-21.270,-46.040,  0.0,20, 2.5,1,"I",,,"MG","Alfenas","(IAG;IPT;UnB;UNESP)"
1990,06,10,03,40,29.00,,-21.230,-46.020,  0.0,20, 2.9,1,"I","4",,"MG","Alfenas","(IAG;IPT;UnB;UNESP)"
1990,06,13,16,35,03.00,,-5.810,-36.910,  0.0,5, 2.6,1,"C",,,"RN","N. S. Rafael","(UFRN) Sismo Induzido"
1990,06,13,21,57,36.00,,-5.810,-36.910,  0.0,5, 2.1,1,"C",,,"RN","N. S. Rafael","(UFRN) Sismo Induzido"
1990,06,19,17,38,01.00,,-25.490,-44.980,  0.0,50, 2.0,1,"I",,,"PR","Margem Cont.","(IPT;IAG)"
1990,06,29,03,36,20.00,,-22.260,-45.920,  0.0,15, 2.1,1,"I",,,"MG","Pouso Alegre","(IPT;IAG)"
1990,07,11,20,04,12.00,,-20.110,-44.620,  0.0,40, 2.8,1,"I",,,"MG","Divinopolis","(UnB)"
1990,07,12,21,01,03.00,,-21.860,-46.920,  0.0,30, 2.4,1,"I",,,"SP","S.J. Boa Vista","(UnB; IPT; IAG)"
1990,07,24,11,33,24.00,,-5.820,-36.880,  2.0,3, 2.2,1,"I","2-3",,"RN","N. S. Rafael","(UFRN) Sismo Induzido"
1990,07,28,18,05,23.00,,-25.310,-44.520,  0.0,50, 2.9,1,"I",,,"PR","Margem Cont.","(IAG; IPT)"
1990,08,16,12,05,,,-22.580,-47.550,  0.0,0, 0.0,-1,"D",,,"SP","Iracemapolis","quebra de barr. do som"
1990,08,21,05,12,41.00,,-11.790,-48.270,  0.0,30, 3.5,1,"I","5",,"TO","Natividade","(UnB; IAG; UNESP)"
1990,08,21,05,41,52.00,,-11.910,-48.250,  0.0,30, 3.6,1,"I","5",3.800000,"TO","Natividade","(UnB; IAG; UNESP)"
1990,09,01,15,46,30.00,,-23.170,-46.060,  0.0,5, 2.9,1,"I",,,"SP","Igarata'","(IPT;IAG) varios de 24/08 a 11/09"
1990,09,07,01,56,39.00,,-21.320,-40.410,  0.0,20, 2.7,1,"I",,,"RJ","Margem Cont.","(IAG)"
1990,09,07,23,39,41.00,,-5.650,-35.850,  3.0,5, 2.8,1,"I",,,"RN","Joao Camara","(UFRN; IAG)"
1990,09,08,02,58,11.00,,-7.510,-73.280, 10.0,50, 4.0,5,"I",,,"AC","Cruzeiro Sul","(USGS)"
1990,09,08,04,34,06.00,,-20.900,-48.690,  0.0,30, 2.3,1,"I",,,"SP","W-Bebedouro","(IAG; IPT; UNESP)"
1990,09,09,11,24,20.00,,-5.650,-35.850,  3.0,5, 3.0,1,"I",,,"RN","Joao Camara","(UFRN; IAG)"
1990,09,12,20,34,18.00,,-5.650,-35.850,  3.0,5, 3.2,1,"I",,,"RN","Joao Camara","(UFRN; IAG)"
1990,09,13,14,24,02.00,,-5.820,-36.880,  2.0,3, 2.1,1,"I","2-3",,"RN","N. S. Rafael","(UFRN) Sismo Induzido"
1990,09,24,15,25,18.00,,-5.650,-35.850,  3.0,5, 3.7,1,"I","5",,"RN","Joao Camara","(UFRN; IAG)"
1990,10,02,09,44,03.00,,-4.330,-38.470,  0.0,20, 2.0,1,"I",,,"CE","Pacajus","(IAG; UFRN; UnB)"
1990,10,15,06,27,23.00,,-5.720,-39.480,  0.0,30, 2.5,1,"I",,,"CE","Mombaca","(IAG;UFRN)"
1990,10,17,14,30,13.00,,-10.970,-70.780,599.0,30, 6.7,0,"I",,,"AC","Peru-Brasil","(USGS)Sent. R.Branco"
1990,10,17,15,12,19.00,,-9.230,-71.060,600.0,30, 5.3,0,"I",,,"AC","Peru-Brasil","(USGS)"
1990,10,20,10,01,31.00,,-7.730,-74.410,162.0,30, 5.0,0,"I",,,"AC","Peru-Brasil","(USGS)"
1990,10,27,06,05,15.00,,-5.850,-36.900,  2.0,30, 2.2,1,"I",,,"RN","N.S.Rafael","(UFRN;IAG;UnB)"
1990,11,01,19,26,02.00,,-5.640,-39.670,  0.0,30, 2.1,1,"I",,,"CE","Mombaça","(UFRN;IAG)"
1990,11,03,10,46,14.00,,-5.650,-35.850,  3.0,5, 3.1,1,"I",,,"RN","Joao Camara","(UFRN;IAG)"
1990,11,10,21,43,03.00,,-5.900,-37.300,  4.0,5, 2.1,1,"I","3-4",,"RN","Augusto Severo","(UFRN;IAG)"
1990,11,11,04,37,55.00,,-5.900,-37.300,  4.0,5, 2.3,1,"I","3-4",0.700000,"RN","Augusto Severo","(UFRN;IAG)"
1990,11,12,02,05,24.00,,-17.820,-41.460,  0.0,30, 2.4,1,"I",,,"MG","TeofiloOtoni","(IAG)"
1990,11,13,13,53,27.00,,-6.710,-36.340,  0.0,100, 2.6,1,"I",,,"PB","B. Sta. Rosa","(UFRN;IAG)"
1990,11,23,04,49,29.00,,-9.310,-36.420,  0.0,80, 2.5,1,"I",,,"AL","P.dos Indios","(IAG)"
1990,12,05,03,07,52.00,,-12.840,-47.500,  0.0,30, 3.0,1,"I",,,"GO","Paranã","(UnB;IAG)"
1990,12,05,03,20,23.00,,-12.840,-47.500,  0.0,30, 2.4,1,"I",,,"GO","Paranã","(UnB;IAG)"
1990,12,09,07,56,19.00,,-23.380,-45.630,  0.0,5, 2.0,1,"I",,,"SP","Paraibuna","(IPT;IAG)"
1990,12,19,02,05,55.00,,-11.180,-40.370,  0.0,30, 2.1,1,"I",,,"BA","Jacobina","(IAG)"
1990,12,29,21,19,34.00,,-17.070,-44.040,  0.0,50, 2.9,1,"I",,,"MG","Bocaiuva","(IAG;UnB;IPT;UNESP)"
1991,01,26,03,27,17.00,,-7.350,-74.550,162.0,50, 4.5,0,"I",,,"AC","Peru-Brasil","(USGS)"
1991,02,08,21,13,14.00,,-6.060,-38.490,  0.0,30, 2.8,1,"I",,,"CE","Pereiro","(IAG;UFRN;UnB)"
1991,02,17,09,34,33.00,,-6.060,-38.490,  0.0,30, 2.1,1,"I",,,"CE","Pereiro","(IAG;UFRN;UnB)"
1991,02,21,20,33,42.00,,-21.760,-43.360,  0.0,2, 2.6,4,"C","3",,"MG","Juiz de Fora","(IAG)"
1991,02,22,18,39,11.00,,-6.560,-74.840,142.0,50, 5.2,0,"I",,,"AC","Peru-Brasil","(USGS)"
1991,02,25,11,07,15.00,,-23.400,-45.630,  0.0,5, 2.3,1,"I","3-4",,"SP","Paraibuna","(IPT;IAG)"
1991,02,26,07,44,27.00,,-21.760,-43.360,  0.0,2, 0.0,-1,"C",,,"MG","Juiz de Fora","(IAG)"
1991,03,14,03,05,09.00,,-10.610,-38.740,  0.0,30, 2.2,1,"I",,,"BA","E. da Cunha","(IAG;UnB) dois evts."
1991,03,21,17,08,19.00,,-22.190,-51.360,  0.0,10, 2.0,5,"I",,,"SP","P. Prudente","(IAG;UNESP;IPT)"
1991,03,21,18,03,50.00,,-22.190,-51.360,  0.0,10, 2.2,5,"I",,,"SP","P. Prudente","(IAG;UNESP;IPT)"
1991,03,22,18,04,43.00,,-22.190,-51.360,  0.0,10, 2.4,1,"I","5",0.060000,"SP","P. Prudente","(IAG;UNESP;IPT)"
1991,03,24,02,38,56.00,,-23.000,-44.220,  0.0,2, 2.0,5,"C","3-4",,"RJ","Monsuaba","(IAG)"
1991,04,14,15,45,,,-9.750,-37.420,  0.0,5, 2.0,5,"C","4-5",,"AL","P. de Acucar","(IAG;UnB) 3 eventos"
1991,04,19,06,10,,,-15.500,-40.910,  0.0,2, 2.8,4,"I","3-4",,"BA","Encruzilhada","(UnB)"
1991,04,19,10,12,48.72,,-3.930,-39.870, 10.0,5, 4.9,2,"I","6-7",200.000000,"CE","Irauçuba","(ISC mb=4.8;UnB;UFRN;IAG; Ferreira_etal 1998) H.O.=AK135"
1991,04,26,14,14,29.00,,-5.460,-35.690,  0.0,10, 3.5,1,"I",,,"RN","Joao Camara","(UFRN;IAG;UnB)"
1991,05,05,21,07,57.00,,-15.080,-39.400,  0.0,50, 2.8,1,"I",,,"BA","Buerarema","(IAG)"
1991,05,09,19,29,44.00,,-21.330,-46.150,  0.0,5, 2.5,1,"I",,,"MG","Areado","(UnB;IPT;IAG) dezenas de JAN. a JUN."
1991,05,12,06,50,44.00,,-9.020,-41.750,  0.0,50, 2.9,1,"I",,,"PI","Curral Novo","(IAG)"
1991,05,16,08,27,24.00,,-24.850,-46.260,  0.0,30, 2.4,1,"I",,,"SP","Margem Cont.","(IPT;IAG)"
1991,05,27,05,55,09.00,,-4.360,-40.330,  1.0,1, 2.4,1,"I",,,"CE","Hidrolandia","(UFRN;IAG;UnB)"
1991,06,23,21,22,29.00,,-26.800,-63.350,558.0,0, 6.4,0,"E",,,"AR","Argentina","(USGS) Porto Alegre II-MM"
1991,06,23,23,14,46.00,,-26.940,-63.270,578.0,0, 5.6,0,"E",,,"AR","Argentina","(USGS) Porto Alegre I-MM"
1991,08,02,08,03,45.00,,-13.950,-49.950,  0.0,80, 2.3,1,"I",,,"GO","Porangatu","(UnB)"
1991,08,25,02,35,37.00,,-13.150,-52.340,  0.0,80, 2.9,1,"I",,,"MT","Rio Tanguro","(UnB)"
1991,09,03,20,46,53.00,,-24.600,-48.430,  0.0,30, 2.8,1,"I","4-5",,"SP","Barra do Turvo","(IAG;IPT;UnB;UNESP)"
1991,09,06,03,35,47.00,,-19.950,-47.160,  0.0,30, 2.3,1,"I",,,"MG","Sacramento","(UnB;IAG)"
1991,09,06,19,12,21.00,,-21.770,-46.260,  0.0,20, 2.1,1,"I",,,"MG","Campestre","(UnB;IAG)"
1991,09,06,19,45,20.00,,-8.280,-36.020,  0.0,5, 2.0,1,"I",,,"PE","Caruaru","(UnB;IAG)"
1991,09,06,21,54,50.00,,-19.720,-45.610,  0.0,50, 2.9,1,"I",,,"MG","Bom Despacho","(UnB;IAG)"
1991,09,11,03,55,19.00,,-12.840,-38.650,  0.0,20, 2.3,1,"I",,,"BA","Itaparica","(IAG)"
1991,09,13,19,56,41.00,,-8.280,-36.020,  0.0,5, 2.1,1,"I",,,"PE","Caruaru","(UnB;IAG)"
1991,09,14,09,44,06.00,,-17.930,-44.250,  0.0,30, 2.3,1,"I",,,"MG","Buenopolis","(UnB;IAG)"
1991,09,17,08,24,26.00,,-11.730,-40.570,  0.0,40, 2.4,1,"I",,,"BA","Mundo Novo","(IAG;UnB)  varios evts."
1991,09,17,22,56,06.00,,-21.330,-46.150,  1.0,1, 2.7,1,"I","4",,"MG","Areado","(UnB;IAG;IPT)"
1991,09,21,18,27,37.00,,-8.280,-36.020,  0.0,5, 2.5,1,"I",,,"PE","Caruaru","(UnB;IAG)"
1991,09,30,05,05,50.00,,-21.330,-46.150,  1.0,1, 2.2,1,"I","3-4",,"MG","Areado","(UnB;IAG;IPT)"
1991,09,30,14,54,01.00,,-21.330,-46.150,  1.0,1, 2.3,1,"I","3-4",,"MG","Areado","(UnB;IAG;IPT)"
1991,10,06,04,22,29.00,,-21.330,-46.150,  1.0,1, 2.1,4,"I","2",,"MG","Areado","(UnB;IAG)"
1991,10,06,16,48,21.00,,-7.360,-74.830,143.0,0, 5.4,0,"I",,,"AC","Peru-Brasil","(USGS)"
1991,10,07,15,46,37.00,,-24.120,-43.010,  0.0,30, 3.0,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1991,10,10,18,30,,,-23.000,-44.220,  0.0,2, 2.6,4,"C","3",,"RJ","Monsuaba","(IAG) Serie de evts."
1991,10,11,05,59,33.00,,-21.330,-46.150,  1.0,1, 2.0,1,"I","3",,"MG","Areado","(UnB;IAG;IPT)"
1991,10,11,21,11,23.00,,-21.330,-46.150,  1.0,1, 2.1,4,"I","2",,"MG","Areado","(UnB)"
1991,10,12,08,27,27.00,,-21.330,-46.150,  1.0,1, 2.1,1,"I","3-4",,"MG","Areado","(UnB;IAG;IPT)"
1991,10,15,10,33,00.00,,-9.560,-40.280,  0.0,20, 2.0,1,"I",,,"BA","C. do Sertao","(IAG)"
1991,11,13,18,14,25.00,,-22.880,-49.830,  0.0,20, 3.0,1,"I","4",,"SP","S.Pedro do Turvo","(IAG;UnB;UNESP)"
1991,11,15,13,16,37.00,,-23.940,-46.410,  0.0,20, 2.7,1,"I",,,"SP","Sao Vicente","(IAG)"
1991,11,20,19,00,,,-25.430,-49.280,  0.0,0, 0.0,-1,"D","3",,"PR","Curitiba","quebra barr. do som ?"
1991,11,22,08,05,55.00,,-12.910,-38.670,  0.0,20, 2.2,1,"I","4-5",,"BA","Ilha de Itaparica","(IAG)"
1991,11,25,14,15,45.00,,-8.780,-74.440,146.0,0, 5.3,0,"I",,,"AC","Peru-Brasil","(USGS)"
1991,11,27,16,44,54.00,,-20.570,-45.730,  0.0,10, 2.4,1,"I",,,"MG","Pontevila","(UnB;IAG)"
1991,11,29,07,14,12.00,,-19.830,-46.160,  0.0,40, 2.4,1,"I",,,"MG","Campos Altos","(IAG;UnB)"
1991,12,04,12,15,03.00,,-22.670,-50.750,  0.0,5, 2.9,1,"I",,,"SP","Cruzalia","(IPT;IAG;UNESP)Induzido?"
1991,12,05,19,04,17.00,,-24.920,-49.580,  0.0,50, 2.6,1,"I",,,"PR","Acungui","(IAG;IPT)"
1991,12,13,02,30,04.00,,-13.440,-46.300,  0.0,20, 3.2,1,"I",,,"GO","Sao Domingos","(UnB;IAG)"
1991,12,19,03,56,56.00,,-14.450,-49.960,  0.0,10, 2.6,1,"I",,,"GO","Crixas","(UnB)"
1991,12,19,21,17,,,-22.690,-50.770,  0.0,5, 2.7,1,"I",,,"SP","Cruzalia","(IPT)Induzido ?"
1992,01,01,20,15,26.00,,-20.330,-44.580,  0.0,20, 3.3,1,"I",,,"MG","Crucilandia","(IPT;IAG;UnB) Explosao ?"
1992,01,07,19,24,35.00,,-12.430,-38.690,  0.0,70, 2.0,1,"I",,,"BA","Teodoroa Sampaio","(IAG)"
1992,01,17,18,32,20.00,,-22.720,-51.100,  0.0,3, 3.1,1,"A","5",0.820000,"SP","Iepe","(IPT;IAG;UnB) Induzido?"
1992,01,28,16,05,38.00,,-20.990,-39.670,  0.0,70, 3.6,1,"I",,,"ES","Margem Cont.","(IAG;IPT;UnB)"
1992,02,01,17,24,30.00,,-26.910,-44.420,  0.0,70, 3.7,1,"I",,,"PR","Margem Cont.","(IAG;IPT)"
1992,02,04,23,32,02.00,,-23.550,-42.420,  0.0,150, 2.5,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1992,02,05,00,02,16.00,,-24.300,-40.950,  0.0,150, 2.8,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1992,02,06,07,38,47.00,,-10.340,-36.890,  0.0,30, 2.8,1,"I",,,"SE","Capela","(IAG)"
1992,02,11,06,11,03.00,,-24.470,-43.790,  0.0,60, 2.3,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1992,02,17,05,14,20.00,,-5.490,-35.720,  0.0,5, 3.0,1,"I",,,"RN","Joao Camara","(UFRN;IAG;UnB)"
1992,03,02,06,06,37.00,,-20.010,-47.270,  0.0,20, 3.6,1,"I","4",,"MG","Sacramento","(IAG;UnB;IPT;UNESP)"
1992,03,09,23,17,59.00,,-24.560,-50.690,  0.0,10, 3.2,1,"A","4-5",1.900000,"PR","Imbau","(IAG;COPEL;IPT;UnB)"
1992,03,15,02,17,54.00,,-22.460,-42.750,  0.0,30, 2.1,1,"I",,,"RJ","Subaio","(IAG;IPT)"
1992,03,16,02,23,37.00,,-23.340,-39.430,  0.0,200, 3.2,1,"I",,,"RJ","Margem Cont.","(IAG;IPT)"
1992,03,19,05,50,10.00,,-24.590,-43.920,  0.0,100, 2.0,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1992,03,19,15,34,11.00,,-24.990,-45.770,  0.0,50, 2.6,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1992,04,07,14,00,,,-21.370,-42.650,  0.0,0, 0.0,-1,"D",,,"MG","Cataguazes","Quebra de barr. do som"
1992,04,13,23,31,09.00,,-23.900,-45.370,  0.0,50, 2.3,1,"I",,,"SP","Ilhabela","(IAG;IPT)"
1992,04,17,21,28,08.00,,-5.640,-35.850,  0.0,5, 3.2,1,"I",,,"RN","Joao Camara","(UFRN;IAG;UnB)"
1992,04,24,03,09,30.00,,-26.850,-45.760,  0.0,50, 3.7,1,"I",,,"SC","Margem Cont.","(UnB;IPT;IAG;UNESP)"
1992,04,24,03,31,31.00,,-26.770,-45.810,  0.0,50, 3.9,1,"I",,,"SC","Margem Cont.","(UnB;IPT;IAG;UNESP)"
1992,04,28,22,34,15.00,,-22.520,-44.120,  0.0,0, 0.0,-1,"D",,,"RJ","V. Redonda","Quebra de barr. do som"
1992,04,28,23,01,32.00,,-22.520,-44.120,  0.0,0, 0.0,-1,"D",,,"RJ","V. Redonda","Quebra de barr. do som"
1992,06,08,03,36,21.00,,-21.330,-46.150,  0.0,5, 2.2,1,"I","4",,"MG","Areado","(UnB;IPT;IAG)"
1992,06,09,10,27,55.00,,-13.550,-39.830,  0.0,40, 3.0,1,"I",,,"BA","Jaguaquara","(IAG;UnB)"
1992,06,09,22,22,24.00,,-21.220,-43.840,  0.0,10, 3.7,1,"I","5",,"MG","Barbacena","(IAG;IPT;UnB)"
1992,06,16,02,50,38.00,,+1.530,-41.570,  0.0,30, 4.7,2,"I",,,"PI","Margem Cont.","(h=33N GS;UFRN;IAG;UnB)"
1992,06,18,23,17,13.00,,-21.330,-46.150,  0.0,5, 2.9,1,"I","4",,"MG","Areado","(UnB;IAG;UNESP) 2 evtos."
1992,06,29,13,42,,,-19.950,-44.160,  0.0,5, 2.1,1,"I","3-4",,"MG","Betim","(IAG;UnB)"
1992,06,29,23,31,51.00,,-19.950,-44.160,  0.0,5, 2.6,1,"I","4-5",,"MG","Betim","(IAG;IPT;UnB)"
1992,07,05,07,34,17.00,,-22.030,-51.310,  0.0,20, 3.2,1,"I","5",,"SP","Pres. Prudente","(UNESP;IPT;IAG;UnB)"
1992,07,05,09,55,40.00,,-21.090,-43.660,  0.0,10, 3.1,1,"I","3-4",,"MG","Barbacena","(IPT;IAG;UnB)"
1992,07,12,04,12,35.00,,-21.330,-46.150,  0.0,5, 2.6,1,"I",,,"MG","Areado","(UnB;IAG;IPT)"
1992,07,13,02,04,44.00,,-21.330,-46.150,  0.0,5, 2.6,1,"I",,,"MG","Areado","(UnB;IAG;IPT)"
1992,07,25,23,18,54.00,,-19.950,-44.160,  0.0,5, 2.8,1,"A","5-6",0.700000,"MG","Betim","(IAG;IPT;UnB)"
1992,07,29,20,12,49.00,,-21.220,-44.040,  0.0,20, 2.1,1,"I","1",,"MG","Barbacena","(IAG;UnB)"
1992,07,29,22,41,25.00,,-21.170,-43.820,  0.0,10, 2.6,1,"I","2",,"MG","Barbacena","(IAG;IPT;UnB)"
1992,08,05,17,37,21.00,,-11.730,-40.570,  0.0,40, 2.1,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,08,06,03,47,51.00,,-11.730,-40.570,  0.0,40, 2.3,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,08,13,06,49,34.00,,-21.330,-46.150,  0.0,5, 2.2,1,"I",,,"MG","Areado","(UnB;IAG;IPT)"
1992,08,13,18,20,31.00,,-11.730,-40.570,  0.0,40, 2.8,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,08,14,07,08,18.00,,-23.360,-45.640,  0.0,0, 2.6,1,"A","4-5",0.330000,"SP","Paraibuna","(IPT;IAG;UnB) Induzido"
1992,08,16,06,57,21.00,,-11.730,-40.570,  0.0,40, 2.1,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,08,17,02,57,34.00,,-20.980,-46.930,  0.0,20, 2.3,1,"I","4",,"MG","S.S. Paraiso","(IAG;IPT)"
1992,08,20,08,08,43.00,,-11.730,-40.570,  0.0,40, 2.4,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,08,20,08,19,29.00,,-11.730,-40.570,  0.0,40, 2.3,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,08,20,19,23,34.00,,-10.310,-40.030,  0.0,20, 2.5,1,"I",,,"BA","S. do Bonfim","(IAG) Explosao ?"
1992,08,25,17,26,26.00,,-12.780,-39.030,  0.0,50, 3.2,1,"I",,,"BA","Reconcavo","(UnB;IAG)"
1992,09,02,11,24,25.00,,-11.730,-40.570,  0.0,40, 2.0,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,09,10,00,56,31.00,,-11.730,-40.570,  0.0,40, 2.4,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,09,19,23,22,52.00,,-11.730,-40.570,  0.0,40, 2.4,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,09,19,23,33,56.00,,-11.730,-40.570,  0.0,40, 2.1,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,09,20,08,39,47.00,,-11.730,-40.570,  0.0,40, 2.2,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,09,29,10,25,21.00,,-21.330,-46.150,  0.0,5, 2.2,1,"I",,,"MG","Areado","(UnB;IAG;IPT)"
1992,09,30,12,57,45.00,,-11.730,-40.570,  0.0,40, 2.1,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,10,01,15,05,53.00,,-21.570,-47.010,  0.0,30, 2.7,1,"I",,,"SP","S.J.R.Pardo","(IAG;IPT;UnB)"
1992,10,15,08,56,19.00,,-11.730,-40.570,  0.0,40, 2.6,1,"I",,,"BA","Mundo Novo","(IAG)"
1992,10,15,19,33,20.00,,-19.800,-43.970,  0.0,30, 3.0,1,"I",,,"MG","R.das Neves","(IAG;IPT;UnB) Explosao ?"
1992,10,21,10,03,18.00,,-21.330,-46.150,  0.0,5, 2.0,1,"I",,,"MG","Areado","(UnB;IAG;IPT)"
1992,10,23,13,01,28.00,,-21.330,-46.150,  0.0,5, 2.2,1,"I",,,"MG","Areado","(UnB;IAG;IPT)"
1992,10,30,13,42,54.00,,-23.130,-47.510,  0.0,20, 2.0,1,"I",,,"SP","Samambaia","(IAG;IPT) Explosao ?"
1992,12,01,09,46,50.00,,-27.270,-50.670,  0.0,100, 2.2,1,"I",,,"SC","Curitibanos","(COPEL)"
1992,12,09,16,21,00.00,,-24.890,-46.330,  0.0,20, 3.4,1,"I",,,"SP","Margem Cont.","(IAG;IPT;UnB;COPEL)"
1993,01,01,23,22,09.00,,-6.800,-37.090,  0.0,40, 2.4,5,"I",,,"PB","Varzea","(UFRN;UnB)"
1993,01,21,16,21,06.00,,-23.350,-45.650,  0.0,2, 2.5,1,"I","4",0.100000,"SP","Paraibuna","(IPT;IAG)"
1993,01,28,03,50,42.00,,-5.630,-35.840,  0.0,10, 2.6,1,"I",,,"RN","J.Camara","(UFRN;UnB;IAG)"
1993,01,28,11,23,51.00,,-4.810,-37.970,  0.0,5, 2.0,5,"I",,,"CE","Palhano","(UFRN;UnB;IAG)"
1993,02,01,16,09,24.00,,-5.630,-35.840,  0.0,10, 3.0,1,"I",,,"RN","J. Camara","(UFRN;UnB;IAG)"
1993,02,02,05,08,,,-21.120,-45.890,  0.0,10, 2.1,1,"I",,,"MG","Campo doMeio","(IPT)"
1993,02,03,21,14,30.00,,-5.630,-35.840,  0.0,10, 2.7,5,"I",,,"RN","J.Camara","(UFRN;UnB;IAG)"
1993,02,05,05,41,52.00,,-8.280,-36.020,  4.0,5, 2.2,1,"I",,,"PE","Caruaru","(UFRN;UnB;IAG)"
1993,02,16,10,21,12.00,,-5.650,-36.260,  0.0,5, 2.3,1,"I","4",,"RN","Lajes","(UFRN)"
1993,03,09,08,56,03.00,,-20.580,-45.400,  1.0,1, 3.1,1,"I","4",1.200000,"MG","Formiga","(IAG;IPT;UnB;UNESP)"
1993,03,26,15,59,59.00,,-24.940,-45.510,  0.0,30, 2.1,1,"I",,,"SP","Margem Cont.","(IPT;IAG)"
1993,04,13,15,15,35.00,,-2.900,-39.520,  0.0,20, 2.4,1,"I",,,"CE","Plat. Cont.","(UFRN;IAG;UnB)"
1993,04,14,17,32,17.00,,-3.250,-40.450,  0.0,15, 2.1,5,"I",,,"CE","Senador Sa","(UFRN;UnB)"
1993,04,15,10,22,33.00,,-3.810,-40.140,  0.0,5, 2.4,5,"I","3-4",,"CE","Forquilha","(UFRN;UnB;IAG)"
1993,04,16,11,38,58.00,,-3.810,-40.140,  0.0,5, 2.5,5,"I","3-4",,"CE","Forquilha","(UFRN;UnB;IAG)"
1993,05,07,21,55,05.00,,-23.390,-45.620,  0.0,2, 2.0,1,"I","3-4",,"SP","Paraibuna","(IPT;IAG)"
1993,05,10,15,15,13.00,,-21.600,-40.700,  0.0,30, 3.2,1,"I",,,"RJ","Margem Cont.","(IAG;IPT;UnB;UNESP)"
1993,05,12,00,37,23.00,,-20.580,-45.400,  1.0,1, 2.9,1,"I","4",1.900000,"MG","Formiga","(IAG;IPT;UnB;UNESP)"
1993,05,21,10,32,12.00,,-23.910,-43.000,  0.0,20, 3.6,1,"I",,,"SP","Margem Cont.","(IPT;IAG;UnB;UNESP;COPEL"
1993,05,24,23,51,28.00,,-23.200,-66.700,238.0,20, 6.6,0,"E",,,"AR","Argentina","(USGS)Sao Paulo IIMM"
1993,06,05,05,51,01.00,,-29.830,-57.300,  0.0,30, 3.4,1,"I",,,"AR","Argentina","(IPT;COPEL;IAG;UFRS;UNESP)"
1993,06,08,23,17,41.00,,-31.560,-69.230,113.0,20, 6.5,0,"E",,,"AR","Argentina","(USGS) Sao Paulo II MM"
1993,06,25,02,03,01.00,,-24.440,-43.540,  0.0,30, 2.7,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1993,06,28,14,29,24.00,,-20.560,-45.000,  0.0,30, 2.3,1,"I",,,"MG","C. da Mata","(UnB) Explosao ?"
1993,06,29,06,51,05.00,,-22.050,-45.320,  0.0,20, 2.3,1,"I",,,"MG","O. Noronha","(IAG;IPT;UnB;UFRN)"
1993,07,12,08,29,01.00,,-14.790,-51.030,  0.0,10, 4.1,1,"I","5",39.000000,"GO","Aruana","(UnB;IAG;IPT;UFRN;COPEL)"
1993,08,01,07,56,15.00,,-19.960,-44.180,  3.0,2, 2.3,1,"I",,,"MG","Betim","(IAG;UnB;IPT)"
1993,08,29,00,48,38.00,,-5.930,-38.100,  0.0,2, 2.2,1,"I","3-4",,"RN","Tab. Grande","(UFRN;UnB;IAG)"
1993,09,01,10,40,05.00,,-21.450,-47.130,  0.0,10, 2.2,1,"I",,,"SP","Sta. Rita Viterbo","(IAG;IPT) Explosao ?"
1993,09,01,10,43,24.00,,-21.460,-47.130,  0.0,10, 2.3,1,"I",,,"SP","Sta. Rita Viterbo","(IAG;IPT) Explosao ?"
1993,09,04,14,22,20.00,,-21.310,-46.750,  0.0,30, 2.7,1,"I",,,"MG","Mte.S.Minas","(IAG;IPT)"
1993,09,17,09,58,40.00,,-21.410,-47.180,  0.0,20, 2.5,1,"I",,,"SP","StaRViterbo","(IAG;IPT) Explosao ?"
1993,09,19,07,29,,,-21.330,-46.150,  0.0,10, 2.0,1,"I",,,"MG","Areado","(IPT)"
