year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1987,01,13,06,38,59.00,,-5.530,-35.750,  0.0,10, 3.3,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,01,28,16,16,12.00,,-5.520,-35.760,  0.0,2, 3.7,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,01,30,02,03,,,-5.530,-35.750,  0.0,10, 3.0,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,02,03,23,51,56.00,,-5.500,-35.730,  0.0,2, 3.8,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,02,07,07,48,14.00,,-5.530,-35.750,  0.0,10, 3.4,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,02,07,22,12,38.00,,-5.490,-35.710,  0.0,2, 3.7,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,02,23,20,01,37.00,,-5.530,-35.750,  0.0,10, 3.1,1,"I",,,"RN","Joao Camara","(IAG;UnB;UFRN)"
1987,02,24,20,15,06.00,,-5.530,-35.750,  0.0,10, 3.1,1,"I",,,"RN","Joao Camara","(UnB;UFRN;IAG)"
1987,02,25,21,37,04.00,,-3.720,-39.810,  0.0,50, 3.0,1,"C","4",0.800000,"CE","ITAPAJE'","(UnB;IAG) Uruburetama"
1987,03,10,23,42,03.00,,-5.000,-35.000,  0.0,100, 2.8,1,"I",,,"RN","Touros","(UFRN; IAG)"
1987,03,20,14,46,59.00,,-24.700,-43.600,  0.0,100, 3.0,1,"I",,,"SP","Plat.Contin.","(IAG; IPT; ON)"
1987,03,21,20,39,14.00,,-21.900,-45.600,  0.0,5, 2.5,1,"I",,,"MG","S.Gonc.Sapuc","(IAG; IPT; ON)"
1987,03,22,03,15,09.00,,-26.700,-44.200,  0.0,100, 3.2,1,"I",,,"PR","Plat.Contin.","(IAG; IPT; ON)"
1987,04,10,15,29,34.00,,-20.010,-43.780,  0.0,60, 2.5,1,"I",,,"MG","Nova Lima","(UnB)"
1987,04,28,04,59,17.00,,-5.530,-35.750,  0.0,10, 3.6,1,"I",,,"RN","JOAO CAMARA","(IAG)"
1987,05,01,05,25,44.00,,-20.800,-44.400,  0.0,20, 2.5,1,"I",,,"MG","S.Joao del REI","(IAG; IPT)"
1987,06,02,19,16,,,-20.500,-44.500,  0.0,50, 2.8,1,"I",,,"MG","S. ITAGUARA","(IAG)"
1987,06,18,16,21,02.00,,-5.530,-35.750,  0.0,10, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1987,06,27,05,09,02.00,,-5.530,-35.750,  0.0,10, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1987,07,29,07,18,28.00,,-27.600,-43.500,  0.0,100, 3.7,1,"I",,,"SP","ATLANTICO","(IAG; IPT)"
1987,08,04,13,25,41.00,,-21.400,-46.200,  0.0,20, 2.5,1,"I",,,"MG","ALFENAS","(IAG; ON)"
1987,08,27,13,01,22.00,,-25.000,-44.100,  0.0,50, 3.6,1,"I",,,"SP","Plat. Continental","(IAG; ON; IPT)"
1987,09,05,10,10,22.00,,-21.300,-46.200,  0.0,10, 2.9,1,"I",,,"MG","NW Alfenas","(IAG; ON; IPT)"
1987,09,23,01,35,21.00,,-19.550,-43.990,  0.0,20, 3.2,1,"I",,,"MG","LAGOA SANTA","(UnB; IAG)"
1987,09,28,20,18,49.00,,-18.900,-44.000,  0.0,80, 3.1,1,"I",,,"MG","CORDISBURGO","(UnB)"
1987,10,14,01,08,19.00,,-2.430,-55.150,  0.0,50, 3.5,1,"I",,,"PA","TUMUCUMAQUE?","(UnB) ou: 2.2 N 55.0 W"
1987,10,15,09,01,41.00,,-11.600,-56.900,  0.0,50, 3.9,1,"I",,,"MT","P. GAUCHOS","(UnB)"
1987,10,24,,,,,-23.370,-45.670,  0.0,0, 2.5,1,"C","4",,"SP","PARAIBUNA","(IAG)"
1987,10,24,21,23,40.00,,-7.010,-73.940,  0.0,30, 5.2,0,"I",,,"AC","Peru-Brasil","(USGS)"
1987,11,30,01,23,56.00,,-5.530,-35.750,  0.0,10, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG)"
1987,12,10,21,36,24.00,,-11.500,-56.900,  0.0,50, 3.5,1,"I",,,"MT","P. GAUCHOS","(UnB)  57.9W ??"
1987,12,11,09,17,40.00,,-6.800,-51.200,  0.0,50, 3.0,1,"I",,,"PA","S.FELIX XIN.","(UnB)"
1987,12,15,11,22,41.00,,-4.800,-50.450,  0.0,50, 2.5,1,"I",,,"PA","SA. CARAJAS","(UnB)"
1988,01,19,23,41,36.00,,-0.400,-49.900,  0.0,100, 3.8,1,"I",,,"PA","CHAVES ?","(UnB)"
1988,02,16,15,03,00.00,,+5.020,-51.250,  0.0,100, 3.7,1,"I",,,"AP","Plataforma","(UnB)"
1988,04,01,00,36,34.20,,-3.950,-40.370,  8.0,2, 4.1,1,"I","5-6",,"CE","GROAIRAS; Sobral","(UFRN; Kwitko&Assumpcao 1990) checar H.O.?"
1988,04,01,00,37,46.00,,-3.950,-40.370,  8.0,2, 3.9,1,"I",,,"CE","GROAIRAS; sobral","(IAG)"
1988,04,05,03,00,51.00,,-22.100,-51.340,  0.0,20, 3.8,1,"A","6",5.000000,"SP","P. PRUDENTE","(UnB; IAG)"
1988,04,30,07,33,16.00,,-4.700,-38.300,  0.0,30, 2.5,1,"I",,,"CE","PALHANO ?","(UnB; IAG)"
1988,05,01,03,33,21.00,,-4.700,-38.200,  0.0,30, 2.6,1,"I",,,"CE","PALHANO ?","(UnB; IAG)"
1988,06,05,16,50,32.00,,+0.920,-61.660,  0.0,50, 3.8,1,"I",,,"RR","S.JOSE ANAUA","(UnB)"
1988,06,07,06,33,14.00,,-24.320,-58.120,  0.0,100, 3.0,1,"I",,,"PY","PARAGUAI","(UnB; IAG)"
1988,06,11,23,59,29.00,,-4.300,-41.480,  0.0,70, 3.1,1,"I",,,"PI","PEDRO II","(UnB; IAG)"
1988,06,24,10,01,44.00,,-20.660,-57.970,  0.0,50, 3.9,1,"I",,,"MS","MS","(USGS; UnB; IAG)"
1988,06,25,11,56,26.00,,-5.530,-35.750,  0.0,15, 3.4,1,"I",,,"RN","JOAO CAMARA","(UnB) SERIE DE EVENTOS"
1988,06,26,03,24,22.00,,-36.270,-52.730, 18.0,40, 4.9,2,"I",,,"UR","URUGUAI","(USGS; UnB; IAG; SJA) Felt III Uruguay"
1988,06,29,13,14,27.00,,-5.530,-35.750,  0.0,15, 3.9,1,"C",,,"RN","JOAO CAMARA","(UnB; FOLHA S.PAULO)"
1988,07,19,10,30,,,-20.730,-47.750,  0.0,0, 3.0,4,"C","4",,"SP","NUPORANGA","(TV Globo;Rib.Preto)"
1988,07,21,21,13,27.00,,-24.750,-40.420,  0.0,100, 2.5,1,"I",,,"RJ","PLATAFORMA","(IAG; IPT)"
1988,08,11,07,06,14.00,,-11.620,-56.990,  0.0,50, 3.7,1,"I",,,"MT","P. GAUCHOS","(UnB; IAG)"
1988,08,11,08,06,17.00,,-11.630,-57.950,  0.0,50, 4.0,1,"I",,,"MT","P. GAUCHOS","(UnB; IAG)"
1988,08,30,12,51,24.00,,-23.370,-45.670,  0.0,10, 2.7,1,"I",,,"SP","PARAIBUNA","(IPT; IAG)"
1988,08,30,15,40,20.00,,-6.090,-47.960,  0.0,30, 3.5,1,"I","5",,"TO","ARAGUATINS","(UnB; IAG)"
1988,09,01,02,56,53.00,,-18.800,-45.140,  0.0,20, 2.6,1,"I",,,"MG","TRES MARIAS","(UnB; IAG; ON)"
1988,09,02,17,51,07.00,,-23.370,-45.670,  0.0,10, 2.6,1,"I",,,"SP","PARAIBUNA","(IPT; IAG)"
1988,09,03,07,29,23.00,,-3.100,-59.760,  0.0,50, 3.8,1,"I",,,"AM","RIO JATAPU","(UnB)"
1988,09,19,03,05,59.00,,-25.290,-45.090,  0.0,50, 2.5,1,"I",,,"SP","Plataforma","(IAG;IPT;ON) corrigido"
1988,10,01,01,39,40.00,,-5.530,-35.750,  0.0,15, 3.3,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,01,16,43,38.00,,-5.530,-35.750,  0.0,15, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,03,01,03,35.00,,-5.530,-35.750,  0.0,15, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,03,05,02,36.00,,-11.660,-56.910,  0.0,40, 3.2,1,"I",,,"MT","PTO. GAUCHOS","(UnB)"
1988,10,03,23,57,56.00,,-5.530,-35.750,  0.0,15, 3.1,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,04,15,23,33.00,,-5.530,-35.750,  0.0,15, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,10,04,22,18,43.00,,-4.820,-37.970,  0.0,5, 2.8,1,"I",,,"CE","PALHANO","(IAG)"
1988,10,12,08,16,33.00,,-27.300,-46.970,  0.0,50, 2.9,1,"I",,,"SC","PLATAFORMA","(IAG; IPT; UnB)"
1988,10,18,09,44,37.00,,-4.810,-37.980,  4.0,2, 3.7,1,"I",,,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,10,18,21,03,29.00,,-4.810,-37.980,  4.0,2, 3.9,1,"I",,,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,10,19,02,15,51.30,,-4.810,-37.980,  4.0,2, 4.2,1,"I","6",,"CE","PALHANO","(UFRN; UnB; IAG; Assumpcao_etal 1989)"
1988,10,29,03,24,28.00,,-4.810,-37.970,  4.0,2, 4.1,1,"I","6",,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,10,29,15,30,07.00,,-4.810,-37.970,  0.0,4, 3.3,1,"I",,,"CE","PALHANO","(IAG)"
1988,10,29,16,18,09.00,,-4.810,-37.970,  0.0,4, 3.0,1,"I",,,"CE","PALHANO","(IAG)"
1988,10,30,07,13,04.00,,-4.810,-37.970,  5.0,2, 3.2,1,"I",,,"CE","PALHANO","(UFRN; UnB; IAG)"
1988,11,01,14,25,29.00,,-5.530,-35.750,  0.0,15, 3.3,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,11,10,20,15,03.00,,-4.810,-37.980,  0.0,5, 3.3,1,"I",,,"CE","PALHANO","(IAG; UFRN)"
1988,11,28,19,32,39.00,,-5.530,-35.750,  0.0,15, 3.0,1,"I",,,"RN","JOAO CAMARA","(IAG; UFRN)"
1988,12,10,09,52,19.00,,-0.730,-59.380,  0.0,50, 3.8,1,"I",,,"RR","JUNDIA'","(UnB)"
1988,12,10,10,28,48.00,,-4.810,-37.980,  0.0,5, 3.4,1,"I",,,"CE","PALHANO","(IAG; UFRN)"
1988,12,23,15,34,54.00,,-23.000,-44.210,  0.0,1, 2.8,1,"I","5",0.600000,"RJ","Monsuaba","(IAG;ON;IPT) Angra II MM"
1988,12,25,17,03,16.00,,-23.000,-44.210,  0.0,1, 2.6,1,"I","4-5",,"RJ","Monsuaba","(IAG;ON;IPT)"
1989,01,07,03,01,13.00,,-11.620,-48.110,  0.0,40, 3.8,1,"I",,,"TO","Natividade","(UnB;IAG)"
1989,01,07,11,36,39.00,,-22.930,-51.010,  0.0,2, 3.7,1,"A","6",0.800000,"PR","Ibiaci","(IPT;IAG;UnB;ON) Provavel induzido."
1989,01,15,12,45,18.00,,-4.810,-37.970,  0.0,5, 3.6,1,"I",,,"CE","Palhano","(IAG;UnB)"
1989,01,18,23,38,10.00,,-23.370,-45.670,  0.0,10, 2.5,1,"I",,,"SP","Paraibuna","(IPT;IAG;ON)"
1989,02,03,19,32,09.00,,-23.280,-45.470,  0.0,10, 2.8,1,"I",,,"SP","Paraibuna","(IPT;IAG;ON)"
1989,02,07,19,12,45.00,,-4.810,-37.970,  0.0,5, 3.1,1,"I",,,"CE","Palhano","(IAG)"
1989,03,09,01,44,05.00,,-24.510,-40.690,  0.0,70, 3.4,1,"I",,,"RJ","Plataforma","(IPT;IAG)"
1989,03,09,19,20,17.00,,-19.400,-45.700,  0.0,20, 3.4,1,"I","4",,"MG","D. Indaia'","(IAG;UnB;IPT;ON)"
1989,03,10,04,11,20.20,,-5.460,-35.690,  8.0,5, 5.0,2,"I","7",,"RN","J.Camara","(UFRN;IAG;UnB; Kwitko_Assumpcao 1990)"
1989,03,10,07,13,27.00,,-5.460,-35.690,  0.0,10, 3.2,1,"I",,,"RN","J.Camara","(IAG)"
1989,03,10,10,07,13.00,,-5.460,-35.690,  0.0,10, 3.9,1,"I",,,"RN","J.Camara","(IAG;UnB)"
1989,03,10,18,54,52.00,,-5.460,-35.690,  0.0,10, 3.3,1,"I",,,"RN","J.Camara","(IAG)"
1989,03,10,21,26,39.00,,-5.460,-35.690,  0.0,10, 3.5,1,"I",,,"RN","J.Camara","(IAG)"
1989,03,14,22,56,35.00,,-5.460,-35.690,  0.0,10, 3.0,1,"I",,,"RN","J.Camara","(IAG)"
1989,03,25,14,33,48.00,,-4.810,-37.970,  0.0,5, 3.5,1,"I",,,"CE","Palhano","(IAG)"
1989,03,25,15,29,24.00,,-4.810,-37.970,  4.0,5, 4.1,1,"I",,,"CE","Palhano","(UFRN;UnB;IAG)"
1989,03,26,13,25,39.31,,-4.810,-37.970,  4.0,3, 4.5,2,"I","6",,"CE","Palhano","(UFRN;UnB;IAG)"
1989,03,26,16,30,16.00,,-4.810,-37.970,  4.0,5, 3.7,1,"I",,,"CE","Palhano","(UFRN;IAG;UnB)"
1989,03,26,18,17,48.00,,-4.810,-37.970,  0.0,5, 3.9,1,"I",,,"CE","Palhano","(UFRN;UnB;IAG)"
1989,03,29,19,01,04.00,,-13.610,-49.600,  0.0,20, 3.6,1,"I",,,"GO","Porangatu","(UnB;IAG;IPT)"
1989,05,06,19,55,46.00,,-5.460,-35.690,  0.0,20, 3.6,1,"I",,,"RN","J. Camara","(IAG;UnB)"
1989,05,09,01,46,08.00,,-20.300,-43.440,  0.0,15, 3.4,1,"I",,,"MG","Mariana","(UnB;IAG;IPT;ON)"
1989,05,13,07,20,46.00,,-4.810,-37.970,  0.0,10, 3.0,1,"I",,,"CE","Palhano","(IAG)"
1989,05,13,07,27,32.00,,-4.810,-37.970,  0.0,10, 3.2,1,"I",,,"CE","Palhano","(IAG)"
1989,05,22,21,09,46.00,,-5.460,-35.690,  0.0,20, 3.0,1,"I",,,"RN","J. Camara","(IAG)"
1989,05,23,22,57,58.00,,-20.730,-47.750,  0.0,5, 3.2,1,"I","4-5",0.300000,"SP","Nuporanga","(IAG;UnB;IPT)"
1989,05,26,22,55,28.00,,-4.810,-37.970,  0.0,5, 4.1,1,"I","5-6",,"CE","Palhano","(IAG;UnB;UFRN)"
1989,06,01,21,40,,,-20.730,-48.070,  0.0,0, 3.0,4,"C","4",,"SP","Morro Agudo","(IAG)"
1989,06,06,12,25,31.00,,-1.550,-64.750,  0.0,100, 3.8,1,"I",,,"AM","Rio Cuiuni","(UnB)"
1989,07,05,03,29,14.00,,-23.370,-45.670,  0.0,10, 2.8,1,"I",,,"SP","Paraibuna","(IPT;IAG)"
1989,07,13,11,16,59.00,,-15.540,-51.070,  0.0,100, 3.0,1,"I","5",,"MT","Cocalinho","(UnB)"
1989,07,28,13,00,,,-27.940,-50.800,  0.0,0, 3.2,4,"C","4-5",,"SC","Campo B. Sul","(Prefeitura Municipal)"
1989,08,01,17,20,19.00,,-10.180,-59.280,  0.0,50, 3.6,1,"I",,,"MT","Rio Aripuana","(UnB)"
1989,08,03,16,05,13.00,,-4.940,-40.240,  0.0,70, 2.8,1,"I",,,"CE","M. Tabosa","(UFRN;IAG;UnB)"
1989,08,11,15,50,41.00,,-24.190,-43.560,  0.0,100, 3.2,1,"I",,,"RJ","Plataforma","(IPT;ON;IAG)"
1989,08,26,16,05,47.00,,-4.810,-37.970,  0.0,5, 3.8,1,"I",,,"CE","Palhano","(IAG;UnB)"
1989,08,28,08,06,26.00,,-4.810,-37.970,  0.0,5, 3.9,1,"I",,,"CE","Palhano","(IAG;UFRN;UnB)"
1989,09,04,06,17,02.00,,-23.410,-41.560,  0.0,100, 3.1,1,"I",,,"RJ","Plataforma","(IAG;IPT;ON)"
1989,10,17,10,45,59.00,,-4.810,-37.970,  0.0,5, 3.6,1,"I",,,"CE","Palhano","(IAG;UFRN;UnB)"
1989,10,17,15,02,48.00,,-4.810,-37.970,  0.0,5, 4.2,1,"I",,,"CE","Palhano","(IAG;UFRN)"
1989,10,17,15,08,26.00,,-4.810,-37.970,  0.0,5, 3.5,1,"I",,,"CE","Palhano","(IAG;UFRN)"
1989,10,17,15,26,34.00,,-4.810,-37.970,  0.0,10, 3.1,1,"I",,,"CE","Palhano","(IAG)"
1989,10,18,15,31,06.00,,-4.810,-37.970,  0.0,10, 3.0,1,"I",,,"CE","Palhano","(IAG)"
1989,10,19,04,17,,,-20.730,-47.750,  0.0,0, 2.6,4,"C","3",,"SP","Nuporanga","(Pref.Mun.; TVS) 3 tremores"
1989,10,21,02,58,55.00,,-26.550,-55.700,  0.0,30, 2.8,1,"I",,,"PY","Paraguai","(UnB;IAG)"
1989,11,06,15,14,,,-7.080,-41.440,  0.0,0, 2.6,4,"C","3",,"PI","Picos","(UnB;Pref. Municipal)"
1989,11,26,11,21,26.00,,-0.240,-49.860,  0.0,20, 4.0,1,"I","3-4",,"PA","Chaves","(UnB;IAG;J.Est.S.Paulo)"
1989,11,29,18,14,15.00,,-24.980,-50.590,  0.0,30, 2.6,1,"I",,,"PR","Ponta Grossa","(IPT) Explosao ?"
1989,12,18,11,46,26.00,,-19.950,-47.160,  0.0,20, 3.4,1,"I","4",,"MG","Sacramento","(IPT;UnB;IAG)"
1989,12,27,19,26,13.00,,-3.760,-40.830,  0.0,30, 3.2,1,"I","4-5",0.600000,"CE","Frecheirinha","(UFRN;IAG)"
1990,01,11,01,30,00.00,,-32.680,-55.580,  0.0,20, 2.8,4,"C","3",,"UR","La_Paloma; Durazno","(Benavidez 1998) H.L.=22:30"
1990,01,19,22,05,15.00,,-19.950,-47.160,  0.0,10, 4.2,1,"B","5-6",5.000000,"MG","Sacramento","(IPT;UnB;IAG;ON;UNESP)"
1990,02,12,23,56,39.00,,-31.190,-48.920, 13.0,30, 5.2,2,"I",,,"RS","Margem Cont.","(USGS mb=5.5;IAG;UnB;IPT;UNESP) P.Alegre IIMM"
1990,03,01,21,59,59.00,,-14.570,-44.120,  1.0,1, 3.1,1,"I","4",0.500000,"MG","Manga","(UnB;IAG)"
1990,03,02,07,10,29.00,,-14.570,-44.120,  1.0,1, 2.7,1,"I",,,"MG","Manga","(UnB;IAG)"
1990,03,08,21,01,32.00,,-15.500,-40.910,  1.0,2, 3.1,1,"I","4",0.100000,"BA","Encruzilhada","(UnB;IAG)"
1990,03,09,12,53,29.00,,-15.500,-40.910,  1.0,2, 2.9,1,"I",,,"BA","Encruzilhada","(UnB;IAG)"
1990,03,28,22,29,49.00,,-21.900,-46.840,  0.0,20, 2.7,1,"I",,,"SP","S.J.B. Vista","(IPT;IAG)"
1990,04,30,05,31,04.00,,-12.550,-40.300,  0.0,10, 2.9,1,"C","4-5",,"BA","Itaberaba","(IAG;UnB) dois eventos"
1990,05,30,08,00,24.00,,-25.730,-44.720,  0.0,50, 3.1,1,"I",,,"PR","Margem Cont.","(IPT;IAG;UNESP)"
1990,06,01,06,55,57.00,,-19.950,-47.160,  0.0,20, 2.6,1,"I","2",,"MG","Sacramento","(IAG;UnB;IPT)"
1990,06,05,02,20,34.00,,-21.270,-46.040,  0.0,20, 2.5,1,"I",,,"MG","Alfenas","(IAG;IPT;UnB;UNESP)"
1990,06,10,03,40,29.00,,-21.230,-46.020,  0.0,20, 2.9,1,"I","4",,"MG","Alfenas","(IAG;IPT;UnB;UNESP)"
1990,06,13,16,35,03.00,,-5.810,-36.910,  0.0,5, 2.6,1,"C",,,"RN","N. S. Rafael","(UFRN) Sismo Induzido"
1990,07,11,20,04,12.00,,-20.110,-44.620,  0.0,40, 2.8,1,"I",,,"MG","Divinopolis","(UnB)"
1990,07,28,18,05,23.00,,-25.310,-44.520,  0.0,50, 2.9,1,"I",,,"PR","Margem Cont.","(IAG; IPT)"
1990,08,21,05,12,41.00,,-11.790,-48.270,  0.0,30, 3.5,1,"I","5",,"TO","Natividade","(UnB; IAG; UNESP)"
1990,08,21,05,41,52.00,,-11.910,-48.250,  0.0,30, 3.6,1,"I","5",3.800000,"TO","Natividade","(UnB; IAG; UNESP)"
1990,09,01,15,46,30.00,,-23.170,-46.060,  0.0,5, 2.9,1,"I",,,"SP","Igarata'","(IPT;IAG) varios de 24/08 a 11/09"
1990,09,07,01,56,39.00,,-21.320,-40.410,  0.0,20, 2.7,1,"I",,,"RJ","Margem Cont.","(IAG)"
1990,09,07,23,39,41.00,,-5.650,-35.850,  3.0,5, 2.8,1,"I",,,"RN","Joao Camara","(UFRN; IAG)"
1990,09,08,02,58,11.00,,-7.510,-73.280, 10.0,50, 4.0,5,"I",,,"AC","Cruzeiro Sul","(USGS)"
1990,09,09,11,24,20.00,,-5.650,-35.850,  3.0,5, 3.0,1,"I",,,"RN","Joao Camara","(UFRN; IAG)"
1990,09,12,20,34,18.00,,-5.650,-35.850,  3.0,5, 3.2,1,"I",,,"RN","Joao Camara","(UFRN; IAG)"
1990,09,24,15,25,18.00,,-5.650,-35.850,  3.0,5, 3.7,1,"I","5",,"RN","Joao Camara","(UFRN; IAG)"
1990,10,15,06,27,23.00,,-5.720,-39.480,  0.0,30, 2.5,1,"I",,,"CE","Mombaca","(IAG;UFRN)"
1990,11,03,10,46,14.00,,-5.650,-35.850,  3.0,5, 3.1,1,"I",,,"RN","Joao Camara","(UFRN;IAG)"
1990,11,13,13,53,27.00,,-6.710,-36.340,  0.0,100, 2.6,1,"I",,,"PB","B. Sta. Rosa","(UFRN;IAG)"
1990,11,23,04,49,29.00,,-9.310,-36.420,  0.0,80, 2.5,1,"I",,,"AL","P.dos Indios","(IAG)"
1990,12,05,03,07,52.00,,-12.840,-47.500,  0.0,30, 3.0,1,"I",,,"GO","Paranã","(UnB;IAG)"
1990,12,29,21,19,34.00,,-17.070,-44.040,  0.0,50, 2.9,1,"I",,,"MG","Bocaiuva","(IAG;UnB;IPT;UNESP)"
1991,02,08,21,13,14.00,,-6.060,-38.490,  0.0,30, 2.8,1,"I",,,"CE","Pereiro","(IAG;UFRN;UnB)"
1991,02,21,20,33,42.00,,-21.760,-43.360,  0.0,2, 2.6,4,"C","3",,"MG","Juiz de Fora","(IAG)"
1991,04,19,06,10,,,-15.500,-40.910,  0.0,2, 2.8,4,"I","3-4",,"BA","Encruzilhada","(UnB)"
1991,04,19,10,12,48.72,,-3.930,-39.870, 10.0,5, 4.9,2,"I","6-7",200.000000,"CE","Irauçuba","(ISC mb=4.8;UnB;UFRN;IAG; Ferreira_etal 1998) H.O.=AK135"
1991,04,26,14,14,29.00,,-5.460,-35.690,  0.0,10, 3.5,1,"I",,,"RN","Joao Camara","(UFRN;IAG;UnB)"
1991,05,05,21,07,57.00,,-15.080,-39.400,  0.0,50, 2.8,1,"I",,,"BA","Buerarema","(IAG)"
1991,05,09,19,29,44.00,,-21.330,-46.150,  0.0,5, 2.5,1,"I",,,"MG","Areado","(UnB;IPT;IAG) dezenas de JAN. a JUN."
1991,05,12,06,50,44.00,,-9.020,-41.750,  0.0,50, 2.9,1,"I",,,"PI","Curral Novo","(IAG)"
1991,08,25,02,35,37.00,,-13.150,-52.340,  0.0,80, 2.9,1,"I",,,"MT","Rio Tanguro","(UnB)"
1991,09,03,20,46,53.00,,-24.600,-48.430,  0.0,30, 2.8,1,"I","4-5",,"SP","Barra do Turvo","(IAG;IPT;UnB;UNESP)"
1991,09,06,21,54,50.00,,-19.720,-45.610,  0.0,50, 2.9,1,"I",,,"MG","Bom Despacho","(UnB;IAG)"
1991,09,17,22,56,06.00,,-21.330,-46.150,  1.0,1, 2.7,1,"I","4",,"MG","Areado","(UnB;IAG;IPT)"
1991,09,21,18,27,37.00,,-8.280,-36.020,  0.0,5, 2.5,1,"I",,,"PE","Caruaru","(UnB;IAG)"
1991,10,07,15,46,37.00,,-24.120,-43.010,  0.0,30, 3.0,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1991,10,10,18,30,,,-23.000,-44.220,  0.0,2, 2.6,4,"C","3",,"RJ","Monsuaba","(IAG) Serie de evts."
1991,11,13,18,14,25.00,,-22.880,-49.830,  0.0,20, 3.0,1,"I","4",,"SP","S.Pedro do Turvo","(IAG;UnB;UNESP)"
1991,11,15,13,16,37.00,,-23.940,-46.410,  0.0,20, 2.7,1,"I",,,"SP","Sao Vicente","(IAG)"
1991,12,04,12,15,03.00,,-22.670,-50.750,  0.0,5, 2.9,1,"I",,,"SP","Cruzalia","(IPT;IAG;UNESP)Induzido?"
1991,12,05,19,04,17.00,,-24.920,-49.580,  0.0,50, 2.6,1,"I",,,"PR","Acungui","(IAG;IPT)"
1991,12,13,02,30,04.00,,-13.440,-46.300,  0.0,20, 3.2,1,"I",,,"GO","Sao Domingos","(UnB;IAG)"
1991,12,19,03,56,56.00,,-14.450,-49.960,  0.0,10, 2.6,1,"I",,,"GO","Crixas","(UnB)"
1991,12,19,21,17,,,-22.690,-50.770,  0.0,5, 2.7,1,"I",,,"SP","Cruzalia","(IPT)Induzido ?"
1992,01,01,20,15,26.00,,-20.330,-44.580,  0.0,20, 3.3,1,"I",,,"MG","Crucilandia","(IPT;IAG;UnB) Explosao ?"
1992,01,17,18,32,20.00,,-22.720,-51.100,  0.0,3, 3.1,1,"A","5",0.820000,"SP","Iepe","(IPT;IAG;UnB) Induzido?"
1992,01,28,16,05,38.00,,-20.990,-39.670,  0.0,70, 3.6,1,"I",,,"ES","Margem Cont.","(IAG;IPT;UnB)"
1992,02,01,17,24,30.00,,-26.910,-44.420,  0.0,70, 3.7,1,"I",,,"PR","Margem Cont.","(IAG;IPT)"
1992,02,06,07,38,47.00,,-10.340,-36.890,  0.0,30, 2.8,1,"I",,,"SE","Capela","(IAG)"
1992,02,17,05,14,20.00,,-5.490,-35.720,  0.0,5, 3.0,1,"I",,,"RN","Joao Camara","(UFRN;IAG;UnB)"
1992,03,02,06,06,37.00,,-20.010,-47.270,  0.0,20, 3.6,1,"I","4",,"MG","Sacramento","(IAG;UnB;IPT;UNESP)"
1992,03,09,23,17,59.00,,-24.560,-50.690,  0.0,10, 3.2,1,"A","4-5",1.900000,"PR","Imbau","(IAG;COPEL;IPT;UnB)"
1992,03,19,15,34,11.00,,-24.990,-45.770,  0.0,50, 2.6,1,"I",,,"SP","Margem Cont.","(IAG;IPT)"
1992,04,17,21,28,08.00,,-5.640,-35.850,  0.0,5, 3.2,1,"I",,,"RN","Joao Camara","(UFRN;IAG;UnB)"
1992,04,24,03,09,30.00,,-26.850,-45.760,  0.0,50, 3.7,1,"I",,,"SC","Margem Cont.","(UnB;IPT;IAG;UNESP)"
1992,04,24,03,31,31.00,,-26.770,-45.810,  0.0,50, 3.9,1,"I",,,"SC","Margem Cont.","(UnB;IPT;IAG;UNESP)"
1992,06,09,10,27,55.00,,-13.550,-39.830,  0.0,40, 3.0,1,"I",,,"BA","Jaguaquara","(IAG;UnB)"
1992,06,09,22,22,24.00,,-21.220,-43.840,  0.0,10, 3.7,1,"I","5",,"MG","Barbacena","(IAG;IPT;UnB)"
1992,06,16,02,50,38.00,,+1.530,-41.570,  0.0,30, 4.7,2,"I",,,"PI","Margem Cont.","(h=33N GS;UFRN;IAG;UnB)"
1992,06,18,23,17,13.00,,-21.330,-46.150,  0.0,5, 2.9,1,"I","4",,"MG","Areado","(UnB;IAG;UNESP) 2 evtos."
